expression,original_order,source,reviewed_as,difficulty,commonality,added,confidence
listen up,1,user_list,phrasal verb,medium,common,no,high
send in,2,user_list,phrasal verb,medium,less_common,no,high
cry out,3,user_list,phrasal verb,medium,less_common,no,high
mix up,4,user_list,phrasal verb,medium,less_common,no,high
stick around,5,user_list,prepositional verb,medium,less_common,no,high
lay over,6,user_list,prepositional verb,medium,less_common,no,high
concentrate on,7,user_list,prepositional verb,medium,common,no,high
sit back,8,user_list,phrasal verb,medium,common,no,high
drop out,9,user_list,phrasal verb,medium,common,no,high
help out,10,user_list,phrasal verb,easy,very_common,no,high
occur to,11,user_list,prepositional verb,medium,common,no,high
carry out,12,user_list,phrasal verb,medium,common,no,high
smile on,13,user_list,prepositional verb,medium,less_common,no,high
start over,14,user_list,prepositional verb,medium,common,no,high
call up,15,user_list,phrasal verb,easy,very_common,no,high
put into,16,user_list,prepositional verb,medium,common,no,high
burn down,17,user_list,phrasal verb,medium,less_common,no,high
sing up,18,user_list,phrasal verb,medium,less_common,no,high
hand off,19,user_list,phrasal verb,medium,common,no,high
sing of,20,user_list,prepositional verb,medium,less_common,no,high
feed up,21,user_list,phrasal verb,medium,less_common,no,high
live by,22,user_list,prepositional verb,medium,less_common,no,high
drink in,23,user_list,phrasal verb,medium,less_common,no,high
sit up,24,user_list,phrasal verb,medium,common,no,high
run up,25,user_list,phrasal verb,medium,common,no,high
rip off,26,user_list,phrasal verb,medium,less_common,no,high
cut in,27,user_list,phrasal verb,medium,less_common,no,high
sell out,28,user_list,phrasal verb,medium,less_common,no,high
ride on,29,user_list,prepositional verb,medium,less_common,no,high
go under,30,user_list,prepositional verb,medium,common,no,high
meet up,31,user_list,phrasal verb,medium,less_common,no,high
fill in,32,user_list,phrasal verb,easy,very_common,no,high
go about,33,user_list,prepositional verb,medium,common,no,high
gain in,34,user_list,prepositional verb,medium,less_common,no,high
move into,35,user_list,prepositional verb,medium,common,no,high
dig in,36,user_list,phrasal verb,medium,less_common,no,high
hand over,37,user_list,phrasal verb,medium,common,no,high
fill up,38,user_list,phrasal verb,medium,common,no,high
roll over,39,user_list,phrasal verb,medium,less_common,no,high
hand out,40,user_list,phrasal verb,medium,common,no,high
hold out,41,user_list,phrasal verb,medium,common,no,high
send out,42,user_list,phrasal verb,medium,less_common,no,high
pack up,43,user_list,phrasal verb,medium,less_common,no,high
rest on,44,user_list,prepositional verb,medium,less_common,no,high
split up,45,user_list,phrasal verb,medium,less_common,no,high
give away,46,user_list,phrasal verb,easy,very_common,no,high
tack on,47,user_list,phrasal verb,medium,less_common,no,high
go forward,48,user_list,phrasal verb,medium,common,no,high
sign for,49,user_list,prepositional verb,medium,less_common,no,high
play out,50,user_list,phrasal verb,medium,less_common,no,high
report to,51,user_list,prepositional verb,medium,common,no,high
do without,52,user_list,prepositional verb,easy,very_common,no,high
pull off,53,user_list,phrasal verb,easy,very_common,no,high
stick up,54,user_list,phrasal verb,medium,less_common,no,high
bring on,55,user_list,phrasal verb,medium,common,no,high
keep up with,56,user_list,phrasal-prepositional verb,medium,common,no,medium
mess around,57,user_list,phrasal verb,medium,less_common,no,high
stick together,58,user_list,phrasal verb,medium,less_common,no,high
sign on,59,user_list,prepositional verb,medium,less_common,no,high
send for,60,user_list,prepositional verb,medium,less_common,no,high
sing out,61,user_list,phrasal verb,medium,less_common,no,high
hold onto,62,user_list,prepositional verb,medium,common,no,high
pick out,63,user_list,phrasal verb,easy,very_common,no,high
knock out,64,user_list,phrasal verb,medium,less_common,no,high
catch on,65,user_list,phrasal verb,easy,very_common,no,high
burn out,66,user_list,phrasal verb,medium,less_common,no,high
drop in,67,user_list,phrasal verb,easy,very_common,no,high
subject to,68,user_list,prepositional verb,medium,less_common,no,high
